project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[0.076, 0.085, 0.055, 0.054, 0.057, 0.054, 0.103, 0.094, 0.046, 0.078, 0.039, 0.076, 0.104, 0.089, 0.124, 0.071, 0.058, 0.088, 0.084, 0.057, 0.101, 0.122, 0.105, 0.09, 0.071, 0.072, 0.109, 0.057, 0.07, 0.086]",precision,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",0.1310344827586207,0.22727948270193676,0.048,0.046,0.033,0.03899999999999999,0.069,0.07,0.067
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[0.076, 0.085, 0.055, 0.054, 0.057, 0.054, 0.103, 0.094, 0.046, 0.078, 0.039, 0.076, 0.104, 0.089, 0.124, 0.071, 0.058, 0.088, 0.084, 0.057, 0.101, 0.122, 0.105, 0.09, 0.071, 0.072, 0.109, 0.057, 0.07, 0.086]",recall,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",0.1310344827586207,0.22727948270193676,0.048,0.046,0.033,0.03899999999999999,0.069,0.07,0.067
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[4.0, 3.5, 4.0, 4.5, 4.5, 4.5, 3.0, 3.5, 4.5, 4.0, 4.5, 3.5, 3.0, 3.5, 3.0, 4.0, 4.5, 3.5, 3.5, 4.5, 3.0, 3.0, 3.0, 3.5, 4.0, 4.0, 3.0, 4.5, 4.0, 4.0]",wasted,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5]",-0.016091954022988506,0.25652947560721134,-1.0,-1.0,-1.0,-0.5,-1.0,-1.5,-1.5
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[0.076, 0.085, 0.055, 0.054, 0.057, 0.054, 0.103, 0.094, 0.046, 0.078, 0.039, 0.076, 0.104, 0.089, 0.124, 0.071, 0.058, 0.088, 0.084, 0.057, 0.101, 0.122, 0.105, 0.09, 0.071, 0.072, 0.109, 0.057, 0.07, 0.086]",f-score,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",0.1310344827586207,0.22727948270193676,0.048,0.046,0.033,0.03899999999999999,0.069,0.07,0.067
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[80.0, 70.0, 80.0, 90.0, 90.0, 90.0, 60.0, 70.0, 90.0, 80.0, 90.0, 70.0, 60.0, 70.0, 60.0, 80.0, 90.0, 70.0, 70.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 80.0, 60.0, 90.0, 80.0, 80.0]",expense,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",-0.016091954022988506,0.25652947560721134,-20.0,-20.0,-20.0,-10.0,-20.0,-30.0,-30.0
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[80.0, 70.0, 80.0, 90.0, 90.0, 90.0, 60.0, 70.0, 90.0, 80.0, 90.0, 70.0, 60.0, 70.0, 60.0, 80.0, 90.0, 70.0, 70.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 80.0, 60.0, 90.0, 80.0, 80.0]",t-score,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",-0.016091954022988506,0.25652947560721134,-20.0,-20.0,-20.0,-10.0,-20.0,-30.0,-30.0
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[0.8, 0.7, 0.8, 0.9, 0.9, 0.9, 0.6, 0.7, 0.9, 0.8, 0.9, 0.7, 0.6, 0.7, 0.6, 0.8, 0.9, 0.7, 0.7, 0.9, 0.6, 0.6, 0.6, 0.7, 0.8, 0.8, 0.6, 0.9, 0.8, 0.8]",cost,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",-0.016091954022988506,0.25652947560721134,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.09999999999999998,-0.20000000000000007,-0.30000000000000004,-0.30000000000000004
Io,MRR,"['20', '40', '80', '280', '520', '180', '100', '60', '540', '260', '200', '340', '300', '160', '460', '320', '120', '500', '440', '140', '240', '480', '420', '380', '400', '600', '360', '580', '220', '560']","[80.0, 70.0, 80.0, 90.0, 90.0, 90.0, 60.0, 70.0, 90.0, 80.0, 90.0, 70.0, 60.0, 70.0, 60.0, 80.0, 90.0, 70.0, 70.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 80.0, 60.0, 90.0, 80.0, 80.0]",exam-score,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",-0.016091954022988506,0.25652947560721134,-20.0,-20.0,-20.0,-10.0,-20.0,-30.0,-30.0
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[0.076, 0.085, 0.094, 0.058, 0.07, 0.055, 0.078, 0.103, 0.071, 0.039, 0.101, 0.109, 0.105, 0.089, 0.086, 0.122, 0.057, 0.124, 0.057, 0.054, 0.088, 0.104, 0.09, 0.071, 0.084, 0.072, 0.076, 0.046, 0.054, 0.057]",precision,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",-0.1632183908045977,0.25316067754687427,0.048,0.046,0.033,0.03899999999999999,0.03,0.066,0.05399999999999999
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[0.076, 0.085, 0.094, 0.058, 0.07, 0.055, 0.078, 0.103, 0.071, 0.039, 0.101, 0.109, 0.105, 0.089, 0.086, 0.122, 0.057, 0.124, 0.057, 0.054, 0.088, 0.104, 0.09, 0.071, 0.084, 0.072, 0.076, 0.046, 0.054, 0.057]",recall,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",-0.1632183908045977,0.25316067754687427,0.048,0.046,0.033,0.03899999999999999,0.03,0.066,0.05399999999999999
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[4.0, 3.5, 3.5, 4.5, 4.0, 4.0, 4.0, 3.0, 4.0, 4.5, 3.0, 3.0, 3.0, 3.5, 4.0, 3.0, 4.5, 3.0, 4.5, 4.5, 3.5, 3.0, 3.5, 4.0, 3.5, 4.0, 3.5, 4.5, 4.5, 4.5]",wasted,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5]",0.0022988505747126436,0.2706729198868606,-1.0,-1.0,-1.0,-0.5,-0.5,-1.5,-1.0
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[0.076, 0.085, 0.094, 0.058, 0.07, 0.055, 0.078, 0.103, 0.071, 0.039, 0.101, 0.109, 0.105, 0.089, 0.086, 0.122, 0.057, 0.124, 0.057, 0.054, 0.088, 0.104, 0.09, 0.071, 0.084, 0.072, 0.076, 0.046, 0.054, 0.057]",f-score,"['460', '480', '360', '420', '300', '100', '240', '60', '380', '160', '500', '560', '40', '440', '260', '340', '20', '600', '400', '320', '220', '120', '580', '140', '520', '80', '280', '180', '540', '200']","[0.124, 0.122, 0.109, 0.105, 0.104, 0.103, 0.101, 0.094, 0.09, 0.089, 0.088, 0.086, 0.085, 0.084, 0.078, 0.076, 0.076, 0.072, 0.071, 0.071, 0.07, 0.058, 0.057, 0.057, 0.057, 0.055, 0.054, 0.054, 0.046, 0.039]",-0.1632183908045977,0.25316067754687427,0.048,0.046,0.033,0.03899999999999999,0.03,0.066,0.05399999999999999
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[80.0, 70.0, 70.0, 90.0, 80.0, 80.0, 80.0, 60.0, 80.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 60.0, 90.0, 60.0, 90.0, 90.0, 70.0, 60.0, 70.0, 80.0, 70.0, 80.0, 70.0, 90.0, 90.0, 90.0]",expense,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",0.0022988505747126436,0.2706729198868606,-20.0,-20.0,-20.0,-10.0,-10.0,-30.0,-20.0
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[80.0, 70.0, 70.0, 90.0, 80.0, 80.0, 80.0, 60.0, 80.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 60.0, 90.0, 60.0, 90.0, 90.0, 70.0, 60.0, 70.0, 80.0, 70.0, 80.0, 70.0, 90.0, 90.0, 90.0]",t-score,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",0.0022988505747126436,0.2706729198868606,-20.0,-20.0,-20.0,-10.0,-10.0,-30.0,-20.0
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[0.8, 0.7, 0.7, 0.9, 0.8, 0.8, 0.8, 0.6, 0.8, 0.9, 0.6, 0.6, 0.6, 0.7, 0.8, 0.6, 0.9, 0.6, 0.9, 0.9, 0.7, 0.6, 0.7, 0.8, 0.7, 0.8, 0.7, 0.9, 0.9, 0.9]",cost,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",0.0022988505747126436,0.2706729198868606,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.09999999999999998,-0.09999999999999998,-0.30000000000000004,-0.20000000000000007
Io,average similarity,"['20', '40', '60', '120', '220', '80', '260', '100', '320', '200', '240', '360', '420', '160', '560', '480', '580', '460', '140', '180', '500', '300', '380', '400', '440', '600', '340', '540', '280', '520']","[80.0, 70.0, 70.0, 90.0, 80.0, 80.0, 80.0, 60.0, 80.0, 90.0, 60.0, 60.0, 60.0, 70.0, 80.0, 60.0, 90.0, 60.0, 90.0, 90.0, 70.0, 60.0, 70.0, 80.0, 70.0, 80.0, 70.0, 90.0, 90.0, 90.0]",exam-score,"['100', '240', '300', '360', '420', '460', '480', '40', '60', '160', '340', '380', '440', '500', '20', '80', '220', '260', '320', '400', '560', '600', '120', '140', '180', '200', '280', '520', '540', '580']","[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",0.0022988505747126436,0.2706729198868606,-20.0,-20.0,-20.0,-10.0,-10.0,-30.0,-20.0
