num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
20,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.986
20,LANG-100,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.996
20,LANG-106,2,1,0,11,25,"[0, 11]",0,0,13,[0],1
20,LANG-111,2,1,1,9,25,"[1, 9]",1,1,13,[1],0.99
20,LANG-112,2,1,3,7,25,"[3, 7]",3,3,13,[3],0.977
20,LANG-114,2,1,4,8,25,"[4, 8]",4,4,13,[4],0.982
20,LANG-118,2,1,1,9,25,"[1, 9]",1,1,13,[1],1
20,LANG-120,3,2,0,3,25,"[3, 0, 2]",0,2,13,"[2, 0]",0.757
20,LANG-122,2,1,4,10,25,"[4, 10]",3,3,13,[3],0.584
20,LANG-128,2,1,4,7,25,"[4, 7]",4,4,13,[4],0.981
20,LANG-168,3,2,0,9,28,"[0, 9, 7]",0,7,14,"[0, 7]",0.734
20,LANG-171,2,1,0,9,28,"[0, 9]",0,0,14,[0],0.982
20,LANG-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.876
20,LANG-224,2,1,1,7,31,"[1, 7]",1,1,14,[1],0.976
40,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.999
40,LANG-100,2,1,1,5,25,"[1, 5]",1,1,13,[1],0.948
40,LANG-106,2,1,3,8,25,"[3, 8]",3,3,13,[3],0.965
40,LANG-111,2,1,0,10,25,"[0, 10]",0,0,13,[0],0.999
40,LANG-112,2,1,1,9,25,"[1, 9]",1,1,13,[1],0.998
40,LANG-114,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.861
40,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.936
40,LANG-120,3,2,0,6,25,"[1, 0, 6]",0,1,13,"[1, 0]",0.93
40,LANG-122,2,1,2,9,25,"[2, 9]",2,2,13,[2],0.955
40,LANG-128,2,1,0,9,25,"[0, 9]",0,0,13,[0],0.979
40,LANG-168,3,2,0,7,28,"[0, 4, 7]",0,4,14,"[0, 4]",0.939
40,LANG-171,2,1,0,7,28,"[0, 7]",0,0,14,[0],0.998
40,LANG-219,2,1,0,7,31,"[0, 7]",0,0,14,[0],0.995
40,LANG-224,2,1,1,9,31,"[1, 9]",1,1,14,[1],0.979
60,LANG-96,1,1,2,2,28,[2],2,2,17,[2],0.919
60,LANG-100,2,1,1,2,25,"[1, 2]",0,0,13,[0],0.964
60,LANG-106,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.982
60,LANG-111,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.924
60,LANG-112,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.937
60,LANG-114,2,1,2,13,25,"[2, 13]",2,2,13,[2],0.877
60,LANG-118,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.992
60,LANG-120,3,2,0,7,25,"[1, 0, 7]",0,1,13,"[1, 0]",0.984
60,LANG-122,2,1,2,5,25,"[2, 5]",2,2,13,[2],0.946
60,LANG-128,2,1,1,5,25,"[5, 1]",1,1,13,[1],0.625
60,LANG-168,3,2,3,6,28,"[5, 6, 3]",1,2,14,"[1, 2]",0.713
60,LANG-171,2,1,2,12,28,"[12, 2]",6,6,14,[6],0.416
60,LANG-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.923
60,LANG-224,2,1,0,3,31,"[3, 0]",0,0,14,[0],0.889
80,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.979
80,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.879
80,LANG-106,2,1,0,15,25,"[0, 15]",0,0,13,[0],0.968
80,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.965
80,LANG-112,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.96
80,LANG-114,2,1,3,12,25,"[3, 12]",3,3,13,[3],0.956
80,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.874
80,LANG-120,3,2,0,4,25,"[3, 0, 4]",0,3,13,"[3, 0]",0.7575
80,LANG-122,2,1,4,8,25,"[4, 8]",4,4,13,[4],0.567
80,LANG-128,2,1,3,4,25,"[3, 4]",3,3,13,[3],0.954
80,LANG-168,3,2,0,8,28,"[3, 0, 8]",0,3,14,"[3, 0]",0.7505
80,LANG-171,2,1,3,11,28,"[11, 3]",7,7,14,[7],0.248
80,LANG-219,2,1,0,10,31,"[10, 0]",6,6,14,[6],0.147
80,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.968
100,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.969
100,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.937
100,LANG-106,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.989
100,LANG-111,2,1,0,17,25,"[0, 17]",0,0,13,[0],0.967
100,LANG-112,2,1,5,7,25,"[5, 7]",5,5,13,[5],0.805
100,LANG-114,2,1,5,7,25,"[5, 7]",2,2,13,[2],0.005
100,LANG-118,2,1,0,21,25,"[0, 21]",0,0,13,[0],0.643
100,LANG-120,3,2,0,5,25,"[0, 1, 5]",0,1,13,"[0, 1]",0.998
100,LANG-122,2,1,7,8,25,"[7, 8]",5,5,13,[5],0.655
100,LANG-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.147
100,LANG-168,3,2,0,7,28,"[0, 1, 7]",0,1,14,"[0, 1]",0.912
100,LANG-171,2,1,0,6,28,"[0, 6]",0,0,14,[0],0.998
100,LANG-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.942
100,LANG-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.958
120,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.94
120,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.986
120,LANG-106,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.925
120,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.923
120,LANG-112,2,1,2,3,25,"[2, 3]",2,2,13,[2],0.945
120,LANG-114,2,1,3,7,25,"[3, 7]",2,2,13,[2],0.891
120,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.934
120,LANG-120,3,2,0,6,25,"[3, 0, 6]",0,2,13,"[2, 0]",0.853
120,LANG-122,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.962
120,LANG-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.557
120,LANG-168,3,2,1,8,28,"[1, 8, 6]",1,5,14,"[1, 5]",0.81
120,LANG-171,2,1,3,6,28,"[3, 6]",2,2,14,[2],0.948
120,LANG-219,2,1,0,7,31,"[0, 7]",0,0,14,[0],0.846
120,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.864
140,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.908
140,LANG-100,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.992
140,LANG-106,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.94
140,LANG-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.865
140,LANG-112,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.76
140,LANG-114,2,1,4,11,25,"[4, 11]",3,3,13,[3],0.004
140,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.763
140,LANG-120,3,2,0,5,25,"[0, 2, 5]",0,2,13,"[0, 2]",0.9565
140,LANG-122,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.994
140,LANG-128,2,1,4,6,25,"[6, 4]",5,5,13,[5],0.5
140,LANG-168,3,2,0,3,28,"[2, 3, 0]",1,2,14,"[1, 2]",0.556
140,LANG-171,2,1,0,9,28,"[9, 0]",5,5,14,[5],0.407
140,LANG-219,2,1,0,4,31,"[4, 0]",1,1,14,[1],0.186
140,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.968
160,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.93
160,LANG-100,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.939
160,LANG-106,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.965
160,LANG-111,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.942
160,LANG-112,2,1,2,8,25,"[2, 8]",2,2,13,[2],0.963
160,LANG-114,2,1,4,10,25,"[10, 4]",3,3,13,[3],0.03
160,LANG-118,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.753
160,LANG-120,3,2,0,5,25,"[0, 1, 5]",0,1,13,"[0, 1]",0.9695
160,LANG-122,2,1,2,8,25,"[2, 8]",2,2,13,[2],0.984
160,LANG-128,2,1,0,6,25,"[6, 0]",1,1,13,[1],0.168
160,LANG-168,3,2,1,6,28,"[1, 3, 6]",1,3,14,"[1, 3]",0.9255
160,LANG-171,2,1,2,6,28,"[2, 6]",2,2,14,[2],0.986
160,LANG-219,2,1,0,3,31,"[3, 0]",2,2,14,[2],0.773
160,LANG-224,2,1,0,9,31,"[0, 9]",0,0,14,[0],0.981
180,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.869
180,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.995
180,LANG-106,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.95
180,LANG-111,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.843
180,LANG-112,2,1,1,3,25,"[1, 3]",1,1,13,[1],0.922
180,LANG-114,2,1,2,3,25,"[2, 3]",1,1,13,[1],0.427
180,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.854
180,LANG-120,3,2,1,4,25,"[4, 1, 3]",1,2,13,"[2, 1]",0.9395
180,LANG-122,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.996
180,LANG-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.921
180,LANG-168,3,2,1,4,28,"[2, 1, 4]",1,2,14,"[2, 1]",0.9435
180,LANG-171,2,1,3,4,28,"[4, 3]",2,2,14,[2],0.89
180,LANG-219,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.933
180,LANG-224,2,1,0,2,31,"[0, 2]",0,0,14,[0],0.987
200,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.981
200,LANG-100,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.943
200,LANG-106,2,1,5,10,25,"[5, 10]",2,2,13,[2],0.411
200,LANG-111,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.97
200,LANG-112,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.949
200,LANG-114,2,1,6,8,25,"[6, 8]",3,3,13,[3],0.194
200,LANG-118,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.773
200,LANG-120,3,2,0,7,25,"[0, 1, 7]",0,1,13,"[0, 1]",0.956
200,LANG-122,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.871
200,LANG-128,2,1,2,6,25,"[6, 2]",3,3,13,[3],0.393
200,LANG-168,3,2,0,10,28,"[1, 0, 10]",0,1,14,"[1, 0]",0.863
200,LANG-171,2,1,0,7,28,"[0, 7]",0,0,14,[0],0.981
200,LANG-219,2,1,3,9,31,"[9, 3]",4,4,14,[4],0.326
200,LANG-224,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.99
220,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.953
220,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.987
220,LANG-106,2,1,2,9,25,"[2, 9]",2,2,13,[2],0.948
220,LANG-111,2,1,0,10,25,"[0, 10]",0,0,13,[0],0.973
220,LANG-112,2,1,1,4,25,"[1, 4]",1,1,13,[1],0.955
220,LANG-114,2,1,2,4,25,"[2, 4]",1,1,13,[1],0.025
220,LANG-118,2,1,0,3,25,"[3, 0]",0,0,13,[0],0.234
220,LANG-120,3,2,0,6,25,"[0, 2, 6]",0,2,13,"[0, 2]",0.986
220,LANG-122,2,1,0,4,25,"[0, 4]",0,0,13,[0],1
220,LANG-128,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.925
220,LANG-168,3,2,1,6,28,"[2, 1, 6]",1,2,14,"[2, 1]",0.9745
220,LANG-171,2,1,0,7,28,"[0, 7]",0,0,14,[0],0.958
220,LANG-219,2,1,0,3,31,"[3, 0]",1,1,14,[1],0.624
220,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.99
240,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.895
240,LANG-100,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.987
240,LANG-106,2,1,0,17,25,"[0, 17]",0,0,13,[0],0.965
240,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.878
240,LANG-112,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.78
240,LANG-114,2,1,6,7,25,"[7, 6]",4,4,13,[4],0.011
240,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.726
240,LANG-120,3,2,0,2,25,"[2, 0, 1]",0,1,13,"[1, 0]",0.615
240,LANG-122,2,1,4,9,25,"[4, 9]",2,2,13,[2],0.104
240,LANG-128,2,1,1,3,25,"[3, 1]",1,1,13,[1],0.327
240,LANG-168,3,2,0,3,28,"[1, 0, 3]",0,1,14,"[1, 0]",0.6675
240,LANG-171,2,1,1,5,28,"[5, 1]",2,2,14,[2],0.246
240,LANG-219,2,1,1,14,31,"[14, 1]",1,1,14,[1],0.125
240,LANG-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.958
260,LANG-96,1,1,3,3,28,[3],2,2,17,[2],0.518
260,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.993
260,LANG-106,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.887
260,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.83
260,LANG-112,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.929
260,LANG-114,2,1,3,5,25,"[3, 5]",3,3,13,[3],0.047
260,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.847
260,LANG-120,3,2,0,2,25,"[1, 0, 2]",0,1,13,"[1, 0]",0.555
260,LANG-122,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.997
260,LANG-128,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.894
260,LANG-168,3,2,1,4,28,"[1, 4, 3]",0,2,14,"[0, 2]",0.554
260,LANG-171,2,1,2,4,28,"[4, 2]",2,2,14,[2],0.276
260,LANG-219,2,1,1,5,31,"[1, 5]",1,1,14,[1],0.833
260,LANG-224,2,1,0,2,31,"[0, 2]",0,0,14,[0],0.88
280,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.983
280,LANG-100,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.996
280,LANG-106,2,1,1,4,25,"[1, 4]",1,1,13,[1],0.927
280,LANG-111,2,1,0,7,25,"[0, 7]",0,0,13,[0],0.974
280,LANG-112,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.856
280,LANG-114,2,1,3,10,25,"[3, 10]",2,2,13,[2],0.383
280,LANG-118,2,1,0,7,25,"[0, 7]",0,0,13,[0],0.917
280,LANG-120,3,2,0,3,25,"[2, 0, 3]",0,2,13,"[2, 0]",0.941
280,LANG-122,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.94
280,LANG-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.384
280,LANG-168,3,2,0,3,28,"[1, 0, 3]",0,1,14,"[1, 0]",0.971
280,LANG-171,2,1,2,3,28,"[2, 3]",2,2,14,[2],0.902
280,LANG-219,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.963
280,LANG-224,2,1,0,2,31,"[0, 2]",0,0,14,[0],0.976
300,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.819
300,LANG-100,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.83
300,LANG-106,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.801
300,LANG-111,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.766
300,LANG-112,2,1,3,6,25,"[3, 6]",3,3,13,[3],0.605
300,LANG-114,2,1,7,10,25,"[7, 10]",5,5,13,[5],0.002
300,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.847
300,LANG-120,3,2,0,18,25,"[2, 0, 18]",0,2,13,"[2, 0]",0.85
300,LANG-122,2,1,3,7,25,"[3, 7]",3,3,13,[3],0.39
300,LANG-128,2,1,1,2,25,"[2, 1]",1,1,13,[1],0.311
300,LANG-168,3,2,0,6,28,"[0, 1, 6]",0,1,14,"[0, 1]",0.7955
