num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
300,LANG-171,2,1,0,7,28,"[7, 0]",2,2,14,[2],0.252
300,LANG-219,2,1,1,4,31,"[4, 1]",0,0,14,[0],0.684
300,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.939
320,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.822
320,LANG-100,2,1,1,3,25,"[1, 3]",1,1,13,[1],0.996
320,LANG-106,2,1,1,11,25,"[1, 11]",1,1,13,[1],0.972
320,LANG-111,2,1,0,7,25,"[0, 7]",0,0,13,[0],0.881
320,LANG-112,2,1,1,3,25,"[1, 3]",1,1,13,[1],0.954
320,LANG-114,2,1,4,16,25,"[4, 16]",3,3,13,[3],0.01
320,LANG-118,2,1,0,1,25,"[1, 0]",0,0,13,[0],0.357
320,LANG-120,3,2,0,5,25,"[0, 2, 5]",0,2,13,"[0, 2]",0.985
320,LANG-122,2,1,1,3,25,"[1, 3]",1,1,13,[1],0.993
320,LANG-128,2,1,0,3,25,"[0, 3]",0,0,13,[0],1
320,LANG-168,3,2,0,5,28,"[0, 2, 5]",0,2,14,"[0, 2]",0.9695
320,LANG-171,2,1,0,5,28,"[0, 5]",0,0,14,[0],0.995
320,LANG-219,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.97
320,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.982
340,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.963
340,LANG-100,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.995
340,LANG-106,2,1,0,11,25,"[0, 11]",0,0,13,[0],0.945
340,LANG-111,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.958
340,LANG-112,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.946
340,LANG-114,2,1,3,5,25,"[3, 5]",2,2,13,[2],0.073
340,LANG-118,2,1,0,6,25,"[6, 0]",1,1,13,[1],0.209
340,LANG-120,3,2,1,6,25,"[5, 1, 6]",1,4,13,"[4, 1]",0.8815
340,LANG-122,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.99
340,LANG-128,2,1,3,5,25,"[5, 3]",4,4,13,[4],0.795
340,LANG-168,3,2,0,6,28,"[2, 0, 6]",0,2,14,"[2, 0]",0.921
340,LANG-171,2,1,5,6,28,"[5, 6]",4,4,14,[4],0.825
340,LANG-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.922
340,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.992
360,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.819
360,LANG-100,2,1,2,3,25,"[2, 3]",2,2,13,[2],0.947
360,LANG-106,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.957
360,LANG-111,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.881
360,LANG-112,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.969
360,LANG-114,2,1,4,5,25,"[4, 5]",3,3,13,[3],0.016
360,LANG-118,2,1,0,1,25,"[1, 0]",0,0,13,[0],0.395
360,LANG-120,3,2,0,5,25,"[0, 1, 5]",0,1,13,"[0, 1]",0.964
360,LANG-122,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.998
360,LANG-128,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.931
360,LANG-168,3,2,0,5,28,"[0, 1, 5]",0,1,14,"[0, 1]",0.957
360,LANG-171,2,1,1,5,28,"[1, 5]",1,1,14,[1],0.994
360,LANG-219,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.968
360,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.984
380,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.918
380,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.99
380,LANG-106,2,1,1,10,25,"[10, 1]",2,2,13,[2],0.084
380,LANG-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.784
380,LANG-112,2,1,2,3,25,"[2, 3]",2,2,13,[2],0.876
380,LANG-114,2,1,4,5,25,"[4, 5]",2,2,13,[2],0.039
380,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.658
380,LANG-120,3,2,0,5,25,"[1, 0, 5]",0,1,13,"[1, 0]",0.9335
380,LANG-122,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.985
380,LANG-128,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.88
380,LANG-168,3,2,0,5,28,"[0, 1, 5]",0,1,14,"[0, 1]",0.9495
380,LANG-171,2,1,1,5,28,"[1, 5]",1,1,14,[1],0.979
380,LANG-219,2,1,1,6,31,"[1, 6]",1,1,14,[1],0.774
380,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.974
400,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.941
400,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.969
400,LANG-106,2,1,5,8,25,"[5, 8]",4,4,13,[4],0.726
400,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.959
400,LANG-112,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.939
400,LANG-114,2,1,8,9,25,"[8, 9]",4,4,13,[4],0.023
400,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.713
400,LANG-120,3,2,0,5,25,"[1, 0, 5]",0,1,13,"[1, 0]",0.784
400,LANG-122,2,1,2,5,25,"[2, 5]",2,2,13,[2],0.944
400,LANG-128,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.88
400,LANG-168,3,2,0,6,28,"[0, 5, 6]",0,4,14,"[0, 4]",0.8925
400,LANG-171,2,1,0,6,28,"[0, 6]",0,0,14,[0],0.987
400,LANG-219,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.961
400,LANG-224,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.85
420,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.948
420,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.994
420,LANG-106,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.548
420,LANG-111,2,1,0,9,25,"[0, 9]",0,0,13,[0],0.947
420,LANG-112,2,1,1,4,25,"[1, 4]",1,1,13,[1],0.963
420,LANG-114,2,1,2,15,25,"[2, 15]",1,1,13,[1],0.025
420,LANG-118,2,1,0,1,25,"[1, 0]",0,0,13,[0],0.24
420,LANG-120,3,2,0,2,25,"[1, 0, 2]",0,1,13,"[1, 0]",0.7805
420,LANG-122,2,1,1,4,25,"[1, 4]",1,1,13,[1],0.96
420,LANG-128,2,1,1,4,25,"[1, 4]",1,1,13,[1],0.951
420,LANG-168,3,2,0,7,28,"[0, 6, 7]",0,5,14,"[0, 5]",0.888
420,LANG-171,2,1,1,2,28,"[1, 2]",0,0,14,[0],0.904
420,LANG-219,2,1,0,4,31,"[4, 0]",1,1,14,[1],0.657
420,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.978
440,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.934
440,LANG-100,2,1,3,10,25,"[3, 10]",2,2,13,[2],0.99
440,LANG-106,2,1,2,9,25,"[2, 9]",1,1,13,[1],0.965
440,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.92
440,LANG-112,2,1,1,10,25,"[1, 10]",1,1,13,[1],0.979
440,LANG-114,2,1,4,17,25,"[4, 17]",2,2,13,[2],0.007
440,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.804
440,LANG-120,3,2,0,4,25,"[1, 0, 4]",0,1,13,"[1, 0]",0.9255
440,LANG-122,2,1,3,10,25,"[3, 10]",2,2,13,[2],0.988
440,LANG-128,2,1,0,1,25,"[1, 0]",0,0,13,[0],0.748
440,LANG-168,3,2,0,5,28,"[1, 0, 5]",0,1,14,"[1, 0]",0.98
440,LANG-171,2,1,2,4,28,"[2, 4]",2,2,14,[2],0.947
440,LANG-219,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.968
440,LANG-224,2,1,0,9,31,"[0, 9]",0,0,14,[0],0.983
460,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.897
460,LANG-100,2,1,1,2,25,"[1, 2]",0,0,13,[0],0.985
460,LANG-106,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.806
460,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.877
460,LANG-112,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.916
460,LANG-114,2,1,4,5,25,"[5, 4]",2,2,13,[2],0.053
460,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.622
460,LANG-120,3,2,0,2,25,"[1, 0, 2]",0,1,13,"[1, 0]",0.6055
460,LANG-122,2,1,1,2,25,"[1, 2]",0,0,13,[0],0.969
460,LANG-128,2,1,2,3,25,"[3, 2]",1,1,13,[1],0.478
460,LANG-168,3,2,0,4,28,"[1, 0, 4]",0,1,14,"[1, 0]",0.8195
460,LANG-171,2,1,2,8,28,"[2, 8]",2,2,14,[2],0.789
460,LANG-219,2,1,17,20,31,"[20, 17]",3,3,14,[3],0.066
460,LANG-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.944
480,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.931
480,LANG-100,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.972
480,LANG-106,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.945
480,LANG-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.911
480,LANG-112,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.885
480,LANG-114,2,1,7,11,25,"[7, 11]",5,5,13,[5],0.031
480,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.639
480,LANG-120,3,2,0,4,25,"[3, 0, 4]",0,2,13,"[2, 0]",0.804
480,LANG-122,2,1,2,12,25,"[2, 12]",1,1,13,[1],0.909
480,LANG-128,2,1,3,12,25,"[3, 12]",2,2,13,[2],0.53
480,LANG-168,3,2,1,4,28,"[3, 1, 4]",1,2,14,"[2, 1]",0.712
480,LANG-171,2,1,2,3,28,"[2, 3]",2,2,14,[2],0.558
480,LANG-219,2,1,4,12,31,"[12, 4]",3,3,14,[3],0.047
480,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.966
500,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.854
500,LANG-100,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.987
500,LANG-106,2,1,0,14,25,"[0, 14]",0,0,13,[0],0.983
500,LANG-111,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.817
500,LANG-112,2,1,3,4,25,"[4, 3]",2,2,13,[2],0.304
500,LANG-114,2,1,4,17,25,"[4, 17]",3,3,13,[3],0.007
500,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.497
500,LANG-120,3,2,0,2,25,"[1, 0, 2]",0,1,13,"[1, 0]",0.892
500,LANG-122,2,1,3,12,25,"[3, 12]",2,2,13,[2],0.149
500,LANG-128,2,1,4,7,25,"[7, 4]",5,5,13,[5],0.549
500,LANG-168,3,2,0,2,28,"[0, 1, 2]",0,1,14,"[0, 1]",0.8685
500,LANG-171,2,1,0,2,28,"[0, 2]",0,0,14,[0],0.934
500,LANG-219,2,1,1,8,31,"[8, 1]",3,3,14,[3],0.267
500,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.981
520,LANG-96,1,1,1,1,28,[1],1,1,17,[1],0.978
520,LANG-100,2,1,1,5,25,"[1, 5]",1,1,13,[1],0.997
520,LANG-106,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.885
520,LANG-111,2,1,2,6,25,"[2, 6]",2,2,13,[2],0.973
520,LANG-112,2,1,1,5,25,"[1, 5]",1,1,13,[1],0.963
520,LANG-114,2,1,0,7,25,"[0, 7]",0,0,13,[0],0.618
520,LANG-118,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.951
520,LANG-120,3,2,0,4,25,"[0, 2, 4]",0,2,13,"[0, 2]",0.979
520,LANG-122,2,1,1,5,25,"[1, 5]",1,1,13,[1],0.999
520,LANG-128,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.93
520,LANG-168,3,2,2,4,28,"[3, 2, 4]",2,3,14,"[3, 2]",0.9685
520,LANG-171,2,1,3,4,28,"[3, 4]",3,3,14,[3],0.982
520,LANG-219,2,1,0,5,31,"[0, 5]",0,0,14,[0],0.879
520,LANG-224,2,1,1,5,31,"[1, 5]",1,1,14,[1],0.987
540,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.94
540,LANG-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.989
540,LANG-106,2,1,3,4,25,"[3, 4]",1,1,13,[1],0.803
540,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.922
540,LANG-112,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.964
540,LANG-114,2,1,8,10,25,"[8, 10]",4,4,13,[4],0.019
540,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.865
540,LANG-120,3,2,2,8,25,"[8, 3, 2]",1,3,13,"[3, 1]",0.6755
540,LANG-122,2,1,3,4,25,"[3, 4]",3,3,13,[3],0.728
540,LANG-128,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.861
540,LANG-168,3,2,0,7,28,"[7, 0, 3]",0,3,14,"[3, 0]",0.8065
540,LANG-171,2,1,0,7,28,"[7, 0]",3,3,14,[3],0.408
540,LANG-219,2,1,1,7,31,"[7, 1]",3,3,14,[3],0.377
540,LANG-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.938
560,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.912
560,LANG-100,2,1,1,8,25,"[1, 8]",1,1,13,[1],0.78
560,LANG-106,2,1,5,10,25,"[10, 5]",5,5,13,[5],0.529
560,LANG-111,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.84
560,LANG-112,2,1,4,9,25,"[4, 9]",4,4,13,[4],0.872
560,LANG-114,2,1,1,14,25,"[1, 14]",1,1,13,[1],0.013
560,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.678
560,LANG-120,3,2,0,7,25,"[2, 0, 7]",0,2,13,"[2, 0]",0.8375
560,LANG-122,2,1,6,7,25,"[6, 7]",4,4,13,[4],0.391
560,LANG-128,2,1,2,7,25,"[2, 7]",2,2,13,[2],0.857
560,LANG-168,3,2,0,8,28,"[0, 6, 8]",0,6,14,"[0, 6]",0.883
560,LANG-171,2,1,0,6,28,"[0, 6]",0,0,14,[0],0.986
560,LANG-219,2,1,0,11,31,"[0, 11]",0,0,14,[0],0.903
560,LANG-224,2,1,0,10,31,"[0, 10]",0,0,14,[0],0.89
580,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.858
580,LANG-100,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.912
580,LANG-106,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.871
580,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.865
580,LANG-112,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.769
580,LANG-114,2,1,4,7,25,"[7, 4]",3,3,13,[3],0.011
580,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.815
580,LANG-120,3,2,0,2,25,"[2, 0, 1]",0,1,13,"[1, 0]",0.6905
580,LANG-122,2,1,1,10,25,"[1, 10]",1,1,13,[1],0.338
580,LANG-128,2,1,0,4,25,"[4, 0]",1,1,13,[1],0.294
580,LANG-168,3,2,0,6,28,"[0, 6, 1]",0,2,14,"[0, 2]",0.5575
580,LANG-171,2,1,0,1,28,"[0, 1]",0,0,14,[0],0.772
580,LANG-219,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.966
580,LANG-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.96
600,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.971
600,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.941
600,LANG-106,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.96
600,LANG-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.968
600,LANG-112,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.805
600,LANG-114,2,1,3,10,25,"[3, 10]",2,2,13,[2],0.202
600,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.861
600,LANG-120,3,2,0,3,25,"[2, 0, 3]",0,2,13,"[2, 0]",0.955
600,LANG-122,2,1,3,17,25,"[3, 17]",3,3,13,[3],0.393
600,LANG-128,2,1,3,4,25,"[3, 4]",2,2,13,[2],0.216
600,LANG-168,3,2,0,3,28,"[0, 1, 3]",0,1,14,"[0, 1]",0.918
600,LANG-171,2,1,0,3,28,"[0, 3]",0,0,14,[0],0.958
600,LANG-219,2,1,0,8,31,"[8, 0]",1,1,14,[1],0.505
600,LANG-224,2,1,1,5,31,"[1, 5]",1,1,14,[1],0.897
